,id,title,brand,rating,rating_count,pricing,shipping,Image_URL,item_features
10,14-930-081,ASRock Phantom Gaming Radeon RX 7900 XTX 24GB GDDR6 PCI Express 4.0 ATX Video Card RX7900XTX PG 24GO,ASRock,4.2,35,899.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-930-081-01.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 2.1'), ('HDMI:', '1 x HDMI 2.1'), ('Slot Width:', '2.8 Slot'), ('Model #: ', 'RX7900XTX PG 24GO'), ('Item #: ', 'N82E16814930081'), ('Return Policy: ', 'Standard Return Policy')]"
11,14-930-066,ASRock Radeon RX 6600 8GB GDDR6 PCI Express 4.0 Video Card RX6600 CLD 8G,ASRock,4.7,224,179.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-930-066-07.jpg,"[('Core Clock:', '1626 MHz'), ('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4'), ('HDMI:', '1 x HDMI 2.1'), ('Model #: ', 'RX6600 CLD 8G'), ('Item #: ', 'N82E16814930066'), ('Return Policy: ', 'Standard Return Policy')]"
12,14-137-631,MSI Ventus GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ventus 3X 12G OC,MSI,4.8,184,298.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-631-03.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4a'), ('HDMI:', '1 x HDMI 2.1'), ('Card Dimensions (L x H):', '12.44"" x 4.72""'), ('Model #: ', 'RTX3060Ventus3X12GOC'), ('Item #: ', 'N82E16814137631'), ('Return Policy: ', 'Standard Return Policy')]"
13,14-932-481,"GIGABYTE Radeon RX 6600 EAGLE 8G Graphics Card, WINDFORCE 3X Cooling System, 8GB 128-bit GDDR6, GV-R66EAGLE-8GD Video Card",GIGABYTE,4.6,112,179.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-481-11.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '2 x DisplayPort 1.4a'), ('HDMI:', '2 x HDMI 2.1'), ('Card Dimensions (L x H):', '11.10"" x 4.45""'), ('Model #: ', 'GV-R66EAGLE-8GD'), ('Item #: ', 'N82E16814932481'), ('Return Policy: ', 'Standard Return Policy')]"
14,14-137-761,MSI Gaming GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 Video Card RTX 4090 GAMING X TRIO 24G,MSI,4.7,87,"1,649.99",Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-761-34.png,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4a'), ('HDMI:', '1 x HDMI 2.1'), ('DirectX:', 'DirectX 12 Ultimate'), ('Model #: ', 'RTX 4090 GAMING X TRIO 24G'), ('Item #: ', 'N82E16814137761'), ('Return Policy: ', 'Standard Return Policy')]"
15,9SIBKENJU14654,TRYCOO Gaming RTX 3060Ti 8G Graphics Card GDDR6 PCI Express 4.0 Video Card Double-fan Edition,TRYCOO,,,329.00,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/BKENS2305040KV8PC9A.jpg,"[('Core Clock:', '1365 MHz'), ('DisplayPort:', '3 x DisplayPort 1.4'), ('HDMI:', '1 x HDMI'), ('DirectX:', 'DirectX 12'), ('Model #: ', 'RTX3060Ti-8G'), ('Item #: ', '9SIBKENJU14654'), ('Return Policy: ', 'View Return Policy')]"
16,14-930-088,ASRock Phantom Gaming Radeon RX 6950 XT 16GB GDDR6 PCI Express 4.0 Video Card RX6950XT PG 16GO,ASRock,4.8,38,579.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-930-088-03.jpg,"[('Core Clock:', '1958 MHz'), ('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4'), ('HDMI:', '1 x HDMI 2.1'), ('Model #: ', 'RX6950XT PG 16GO'), ('Item #: ', 'N82E16814930088'), ('Return Policy: ', 'Standard Return Policy')]"
17,14-126-638,"ASUS Dual GeForce RTX 4070 OC Edition 12GB GDDR6X, IP5X, Auto-Extreme Technology, 144-Hour Validation Program, HDMI 2.1a, DP 1.4a, DUAL-RTX4070-O12G",ASUS,4.6,19,599.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-126-638-V01.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4a'), ('HDMI:', '1 x HDMI 2.1'), ('Slot Width:', '2.55 Slots'), ('Model #: ', 'DUAL-RTX4070-O12G'), ('Item #: ', 'N82E16814126638'), ('Return Policy: ', 'Standard Return Policy')]"
18,14-126-637,"ASUS TUF Gaming NVIDIA GeForce RTX 4070 OC Edition Gaming Graphics Card (PCIe 4.0, 12GB GDDR6X, HDMI 2.1, DisplayPort 1.4a) TUF-RTX4070-O12G-GAMING",ASUS,4.9,20,649.00,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-126-637-V01.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4a'), ('HDMI:', '1 x HDMI 2.1'), ('Slot Width:', '3.25 Slots'), ('Model #: ', 'TUF-RTX4070-O12G-GAMING'), ('Item #: ', 'N82E16814126637'), ('Return Policy: ', 'Standard Return Policy')]"
19,14-137-799,MSI Ventus GeForce RTX 4060 Ti 8GB GDDR6 PCI Express 4.0 x8 ATX Video Card RTX 4060 Ti VENTUS 2X BLACK 8G OC,MSI,+ 5,2,379.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-799-23.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4a'), ('HDMI:', '1 x HDMI 2.1a'), ('DirectX:', 'DirectX 12 Ultimate'), ('Model #: ', 'RTX 4060 Ti VENTUS 2X BLACK 8G OC'), ('Item #: ', 'N82E16814137799'), ('Return Policy: ', 'Standard Return Policy')]"
20,14-137-735,MSI Mech Radeon RX 6750 XT 12GB GDDR6 PCI Express 4.0 Video Card RX 6750 XT MECH 2X 12G OC,MSI,4.5,102,359.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-735-01.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4'), ('HDMI:', '1 x HDMI 2.1'), ('Card Dimensions (L x H):', '9.80"" x 5.20""'), ('Model #: ', 'RX 6750 XT MECH 2X 12G OC'), ('Item #: ', 'N82E16814137735'), ('Return Policy: ', 'Standard Return Policy')]"
21,14-883-002,Intel Arc A750 Limited Edition 8GB PCI Express 4.0 Graphics Card 21P02J00BA,Intel,4.4,70,229.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-883-002-07.jpg,"[('Core Clock:', '2050'), ('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 2.0'), ('HDMI:', '1 x HDMI 2.1'), ('Model #: ', '21P02J00BA'), ('Item #: ', 'N82E16814883002'), ('Return Policy: ', 'Standard Return Policy')]"
22,14-137-795,MSI Mech Radeon RX 7600 8GB GDDR6 PCI Express 4.0 x8 ATX Video Card RX 7600 MECH 2X CLASSIC 8G OC,MSI,4.9,7,269.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-795-10.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4'), ('HDMI:', '1 x HDMI 2.1'), ('DirectX:', 'DirectX 12 Ultimate'), ('Model #: ', 'RX 7600 MECH 2X CLASSIC 8G OC'), ('Item #: ', 'N82E16814137795'), ('Return Policy: ', 'Standard Return Policy')]"
23,14-930-084,ASRock Radeon RX 7900 XTX 24GB GDDR6 PCI Express 4.0 Video Card RX7900XTX 24G,ASRock,4.7,21,979.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-930-084-01.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '2 x DisplayPort 2.1'), ('HDMI:', '1 x HDMI 2.1'), ('Slot Width:', '2.5 Slot'), ('Model #: ', 'RADEON RX7900XTX 24G'), ('Item #: ', 'N82E16814930084'), ('Return Policy: ', 'Standard Return Policy')]"
24,14-150-852,"XFX SPEEDSTER SWFT309 AMD Radeon RX 6700 XT CORE Gaming Graphics Card with 12GB GDDR6 HDMI 3xDP, AMD RDNA 2 (RX-67XTYJFDV)",XFX,4.7,49,349.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-150-852-V08.jpg,"[('Core Clock:', '2321 MHz'), ('DisplayPort:', '3 x DisplayPort 1.4'), ('HDMI:', '1 x HDMI 2.1'), ('Card Dimensions (L x H):', '11.97"" x 4.84""'), ('Model #: ', 'RX-67XTYJFDV'), ('Item #: ', 'N82E16814150852'), ('Return Policy: ', 'Standard Return Policy')]"
25,14-932-620,"GIGABYTE GeForce RTX 4060 Ti EAGLE 8G Graphics Card, 3x WINDFORCE Fans, 8GB 128-bit GDDR6, GV-N406TEAGLE-8GD Video Card",GIGABYTE,4.9,7,399.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-620-10.jpg,"[('Core Clock:', '2535 MHz'), ('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '2 x DisplayPort'), ('HDMI:', '2 x HDMI'), ('Model #: ', 'GV-N406TEAGLE-8GD'), ('Item #: ', 'N82E16814932620'), ('Return Policy: ', 'Standard Return Policy')]"
26,14-137-759,MSI Suprim GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 Video Card RTX 4090 SUPRIM LIQUID X 24G,MSI,4.7,98,"1,749.99",Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-759-34.png,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4a'), ('HDMI:', '1 x HDMI 2.1'), ('DirectX:', 'DirectX 12 Ultimate'), ('Model #: ', 'RTX 4090 SUPRIM LIQUID X 24G'), ('Item #: ', 'N82E16814137759'), ('Return Policy: ', 'Standard Return Policy')]"
27,14-553-001,Acer Predator BiFrost Arc A770 Video Card Predator BiFrost Intel Arc A770 OC DP.BKCWW.P02,Acer America,4.3,35,319.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-553-001-15.jpg,"[('Core Clock:', '2200 MHz'), ('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 2.0'), ('HDMI:', '1 x HDMI 2.1'), ('Model #: ', 'DP.BKCWW.P02'), ('Item #: ', 'N82E16814553001'), ('Return Policy: ', 'Standard Return Policy')]"
28,14-137-791,MSI Gaming GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 GAMING X TRIO 12G,MSI,4.8,13,629.66,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-791-01.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4a'), ('HDMI:', '1 x HDMI 2.1a'), ('DirectX:', 'DirectX 12 Ultimate'), ('Model #: ', 'RTX 4070 GAMING X TRIO 12G'), ('Item #: ', 'N82E16814137791'), ('Return Policy: ', 'Standard Return Policy')]"
29,14-137-771,MSI Gaming GeForce RTX 4070 Ti 12GB GDDR6X PCI Express 4.0 Video Card RTX 4070 Ti GAMING X TRIO 12G,MSI,4.8,78,814.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-771-02.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4a'), ('HDMI:', '1 x HDMI 2.1a'), ('DirectX:', 'DirectX 12 Ultimate'), ('Model #: ', 'RTX 4070 Ti GAMING X TRIO 12G'), ('Item #: ', 'N82E16814137771'), ('Return Policy: ', 'Standard Return Policy')]"
30,14-932-623,"GIGABYTE GeForce RTX 4070 Ti WINDFORCE OC 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407TWF3OC-12GD Video Card",GIGABYTE,4.5,2,799.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-623-07.jpg,"[('Core Clock:', '2625 MHz'), ('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort'), ('HDMI:', '1 x HDMI'), ('Model #: ', 'GV-N407TWF3OC-12GD'), ('Item #: ', 'N82E16814932623'), ('Return Policy: ', 'Standard Return Policy')]"
31,14-202-428,SAPPHIRE NITRO Radeon RX 7900 XTX 24GB GDDR6 PCI Express 4.0 x16 ATX Video Card 11322-01-40G,Sapphire Tech,4.5,58,"1,049.99",Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-202-428-V02.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '2 x DisplayPort 2.1'), ('HDMI:', '2 x HDMI 2.1'), ('Slot Width:', '4 Slots'), ('Model #: ', '11322-01-40G'), ('Item #: ', 'N82E16814202428'), ('Return Policy: ', 'Standard Return Policy')]"
32,14-932-550,GIGABYTE Gaming GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4090GAMING OC-24GD,GIGABYTE,4.8,176,"1,689.00",Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-550-23.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4'), ('HDMI:', '1 x HDMI 2.1'), ('Card Dimensions (L x H):', 'L=340 mm, W=150.2 mm, H=75.2 mm'), ('Model #: ', 'GV-N4090GAMING OC-24GD'), ('Item #: ', 'N82E16814932550'), ('Return Policy: ', 'Standard Return Policy')]"
33,14-930-070,ASRock Challenger D Radeon RX 6650 XT 8GB GDDR6 PCI Express 4.0 Video Card RX6650XT CLD 8GO,ASRock,4.9,43,239.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-930-070-01.jpg,"[('Core Clock:', '2106 MHz'), ('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4'), ('HDMI:', '1 x HDMI 2.1'), ('Model #: ', 'RX6650XT CLD 8GO'), ('Item #: ', 'N82E16814930070'), ('Return Policy: ', 'Standard Return Policy')]"
34,14-930-071,ASRock Challenger Pro Radeon RX 6750 XT 12GB GDDR6 PCI Express 4.0 Video Card RX6750XT CLP 12GO,ASRock,4.6,45,359.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-930-071-02.jpg,"[('Core Clock:', '2235 MHz'), ('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4'), ('HDMI:', '1 x HDMI 2.1'), ('Model #: ', 'RX6750XT CLP 12GO'), ('Item #: ', 'N82E16814930071'), ('Return Policy: ', 'Standard Return Policy')]"
35,14-202-394,"Sapphire Pulse AMD RADEON RX 6800 GAMING GRAPHICS CARD WITH 16GB GDDR6, AMD RDNA 2 (11305-02-20G)",Sapphire Tech,4.7,47,479.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-202-394-02.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4'), ('HDMI:', '1 x HDMI 2.1'), ('Card Dimensions (L x H):', '11.92"" x 5.01""'), ('Model #: ', '11305-02-20G'), ('Item #: ', 'N82E16814202394'), ('Return Policy: ', 'Standard Return Policy')]"
36,14-137-787,MSI Ventus GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 VENTUS 2X 12G OC,MSI,+ 5,1,599.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-787-02.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4a'), ('HDMI:', '1 x HDMI 2.1a'), ('DirectX:', 'DirectX 12 Ultimate'), ('Model #: ', 'RTX 4070 VENTUS 2X 12G OC'), ('Item #: ', 'N82E16814137787'), ('Return Policy: ', 'Replacement Only Return Policy')]"
37,14-932-609,GIGABYTE Gaming GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4070GAMING OC-12GD,GIGABYTE,+ 4,1,639.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-609-V01.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort'), ('HDMI:', '1 x HDMI'), ('Slot Width:', '3 Slots'), ('Model #: ', 'GV-N4070GAMING OC-12GD'), ('Item #: ', 'N82E16814932609'), ('Return Policy: ', 'Standard Return Policy')]"
38,14-126-611,"ASUS TUF Gaming NVIDIA GeForce RTX 3070 Ti OC V2 Graphics Card (PCIe 4.0, 8GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Military-grade Certification, GPU Tweak III) TUF-RTX3070TI-O8G-V2-GAMING",ASUS,4.8,39,459.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-126-611-13.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4a'), ('HDMI:', '2 x HDMI 2.1'), ('Slot Width:', '2.7 Slot'), ('Model #: ', 'TUF-RTX3070TI-O8G-V2-GAMING'), ('Item #: ', 'N82E16814126611'), ('Return Policy: ', 'Standard Return Policy')]"
39,14-126-594,"ASUS TUF Gaming GeForce RTX 4090 OC Edition Gaming Graphics Card (PCIe 4.0, 24GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a) TUF-RTX4090-O24G-GAMING",ASUS,4.4,77,"1,709.99",Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-126-594-V01.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4a'), ('HDMI:', '2 x HDMI 2.1'), ('Card Dimensions (L x H):', '348.2 x 72.6 mm'), ('Model #: ', 'TUF-RTX4090-O24G-GAMING'), ('Item #: ', 'N82E16814126594'), ('Return Policy: ', 'Standard Return Policy')]"
40,14-930-083,ASRock Phantom Gaming Radeon RX 7900 XT 20GB GDDR6 PCI Express 4.0 ATX Video Card RX7900XT PG 20GO,ASRock,4.8,33,719.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-930-083-01.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 2.1'), ('HDMI:', '1 x HDMI 2.1'), ('Slot Width:', '2.8 Slot'), ('Model #: ', 'RX7900XT PG 20GO'), ('Item #: ', 'N82E16814930083'), ('Return Policy: ', 'Standard Return Policy')]"
41,14-930-064,ASRock Phantom Gaming D Radeon RX 6600 XT 8GB GDDR6 PCI Express 4.0 Video Card RX6600XT PGD 8GO,ASRock,4.8,26,279.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-930-064-V01.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4 with DSC'), ('HDMI:', '1 x HDMI 2.1 VRR'), ('Card Dimensions (L x H):', '12.01"" x 5.16""'), ('Model #: ', 'RX6600XT PGD 8GO'), ('Item #: ', 'N82E16814930064'), ('Return Policy: ', 'Standard Return Policy')]"
42,14-930-093,ASRock Challenger Radeon RX 7600 8GB GDDR6 PCI Express 4.0 x8 ATX Video Card RX7600 CL 8GO,ASRock,,,269.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-930-093-03.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4a'), ('HDMI:', '1 x HDMI 2.1'), ('Slot Width:', '2 Slots'), ('Model #: ', 'RX7600 CL 8GO'), ('Item #: ', 'N82E16814930093'), ('Return Policy: ', 'Standard Return Policy')]"
43,14-930-072,ASRock Phantom Gaming D Radeon RX 6750 XT 12GB GDDR6 PCI Express 4.0 Video Card RX6750XT PGD 12GO,ASRock,4.5,16,369.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-930-072-01.jpg,"[('Core Clock:', '2324 MHz'), ('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4'), ('HDMI:', '1 x HDMI 2.1'), ('Model #: ', 'RX6750XT PGD 12GO'), ('Item #: ', 'N82E16814930072'), ('Return Policy: ', 'Standard Return Policy')]"
44,14-932-608,GIGABYTE AERO GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4070AERO OC-12GD,GIGABYTE,+ 5,6,659.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-608-V01.jpg,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort'), ('HDMI:', '1 x HDMI'), ('Slot Width:', '3 Slots'), ('Model #: ', 'GV-N4070AERO OC-12GD'), ('Item #: ', 'N82E16814932608'), ('Return Policy: ', 'Standard Return Policy')]"
45,14-137-680,MSI Ventus GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ti VENTUS 3X 8G OC LHR,MSI,4.6,106,354.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-680-02.png,"[('Max Resolution:', '7680 x 4320'), ('DisplayPort:', '3 x DisplayPort 1.4a'), ('HDMI:', '1 x HDMI 2.1'), ('Card Dimensions (L x H):', '12.44"" x 4.72""'), ('Model #: ', 'RTX 3060 Ti VENTUS 3X 8G OC LHR'), ('Item #: ', 'N82E16814137680'), ('Return Policy: ', 'Standard Return Policy')]"
